Serial,Main Category,Brand,SubCategory,Second SubCategory,Product Name,MRP Price,Offered Price,MRP Source,Image Count,Image Paths,Missing Price,Missing Images
1,Surgical Products,Believia,BP Apparatus,Aneroid,Believia Aneroid AN01 (HS-20A) Meter,2242,1550.53,sale_rate_sheet,3,C:\Users\ANC\Downloads\Compressed\Believia\BP WRIST\BELIEVIA ANEROID AN01 (HS20A) METER\IMG-20260522-WA0199.jpg | C:\Users\ANC\Downloads\Compressed\Believia\BP WRIST\BELIEVIA ANEROID AN01 (HS20A) METER\IMG-20260522-WA0201.jpg | C:\Users\ANC\Downloads\Compressed\Believia\BP WRIST\BELIEVIA ANEROID AN01 (HS20A) METER\IMG-20260522-WA0204.jpg,false,false
2,Surgical Products,Believia,BP Apparatus,Aneroid,Believia Palm Type Aneroid AN-02  (HS-201T)  Machine,4291.27,3065.19,calculated_40_percent_above_offered,2,C:\Users\ANC\Downloads\Compressed\Believia\BP WRIST\BELIEVIA PALM TYPE ANEROID AN-02 (HS-201T) MACHINE\1779364949571.png | C:\Users\ANC\Downloads\Compressed\Believia\BP WRIST\BELIEVIA PALM TYPE ANEROID AN-02 (HS-201T) MACHINE\IMG-20260522-WA0222.jpg,false,false
3,Surgical Products,Believia,BP Apparatus,Upper Arm (Automatic),Believa BP30W Machine,,,,0,,true,true
4,Surgical Products,Believia,BP Apparatus,Upper Arm (Automatic),Believia BP20FK Family Kit,,,,0,,true,true
5,Surgical Products,Believia,BP Apparatus,Upper Arm (Automatic),Believia BP30A (LD-532) BP Machine,8555,5216.98,sale_rate_sheet,2,C:\Users\ANC\Downloads\Compressed\Believia\BP UPPER ARM\BELIEVIA BP 30A(LD-532) BP MACHINE\IMG-20260522-WA0241.jpg | C:\Users\ANC\Downloads\Compressed\Believia\BP UPPER ARM\BELIEVIA BP 30A(LD-532) BP MACHINE\IMG-20260522-WA0244.jpg,false,false
6,Surgical Products,Believia,BP Apparatus,Upper Arm (Automatic),Believia BP40A (DBP-1333) BP Machine,6490,4079.07,sale_rate_sheet,4,C:\Users\ANC\Downloads\Compressed\Believia\BP UPPER ARM\BELIEVIA BP40A(DBP-1333) BP MACHINE\IMG-20260520-WA0233.jpg | C:\Users\ANC\Downloads\Compressed\Believia\BP UPPER ARM\BELIEVIA BP40A(DBP-1333) BP MACHINE\IMG-20260520-WA0234.jpg | C:\Users\ANC\Downloads\Compressed\Believia\BP UPPER ARM\BELIEVIA BP40A(DBP-1333) BP MACHINE\IMG-20260520-WA0235.jpg | C:\Users\ANC\Downloads\Compressed\Believia\BP UPPER ARM\BELIEVIA BP40A(DBP-1333) BP MACHINE\IMG-20260520-WA0250.jpg,false,false
7,Surgical Products,Believia,BP Apparatus,Upper Arm (Automatic),Believia BP40W Machine,4543,3251.69,sale_rate_sheet,0,,false,true
8,Surgical Products,Believia,BP Apparatus,Upper Arm (Automatic),Believia Digital BP50A Machine,,,,3,C:\Users\ANC\Downloads\Compressed\Believia\BP UPPER ARM\BELIEVIA DIGITAL BP 50A MACHINE\1779776588774.png | C:\Users\ANC\Downloads\Compressed\Believia\BP UPPER ARM\BELIEVIA DIGITAL BP 50A MACHINE\1779776660228.png | C:\Users\ANC\Downloads\Compressed\Believia\BP UPPER ARM\BELIEVIA DIGITAL BP 50A MACHINE\1779776717666.png,true,false
9,Surgical Products,Believia,BP Apparatus,Upper Arm (Automatic),Believia Digital BP-60A (KF-66EP) Machine,7490.64,4594.71,sale_rate_sheet,1,C:\Users\ANC\Downloads\Compressed\Believia\BP UPPER ARM\BELIEVIA DIGITAL BP-60A (KF-66EP) MACHINE\IMG-20260522-WA0239.jpg,false,false
10,Surgical Products,Believia,BP Apparatus,Mercurial,Believia Mercurial BP15M Machine,,,,0,,true,true
11,Surgical Products,Believia,Stethoscopes,Deluxe / Dual Head,Believia Deluxe DST05 (HS-30N) Steth,,,,0,,true,true
